TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Total_Households,Toilet_Inside,Toilet_Inside_Flush_Sewer,Toilet_Inside_Flush_Septic,Toilet_Inside_Flush_Other,Toilet_Inside_Pit_Ventilated,Toilet_Inside_Pit_Open,Toilet_Inside_Open_Drain,Toilet_Inside_Manual,Toilet_Inside_Pig,Toilet_Outside,Toilet_Public,Toilet_None
HH2808,27,505,04025,802704,Mohpa (M Cl),Urban," 1,615 ", 847 , 16 , 387 , 6 , 435 , 3 , -   , -   , -   , 768 , 675 , 93 
HH2808,27,505,04025,535202,Bamhni (CT),Urban," 2,374 "," 1,941 ", 338 ," 1,433 ", 4 , 165 , 1 , -   , -   , -   , 433 , -   , 433 
HH2808,27,505,04026,000000,Sub-District - Savner,Total," 50,029 "," 29,668 "," 4,529 "," 19,356 ", 482 ," 5,009 ", 72 , 67 , -   , 153 ," 20,361 "," 1,271 "," 19,090 "
HH2808,27,505,04026,000000,Sub-District - Savner,Rural," 28,465 "," 13,268 "," 1,026 "," 8,018 ", 316 ," 3,789 ", 43 , 58 , -   , 18 ," 15,197 ", 358 ," 14,839 "
HH2808,27,505,04026,000000,Sub-District - Savner,Urban," 21,564 "," 16,400 "," 3,503 "," 11,338 ", 166 ," 1,220 ", 29 , 9 , -   , 135 ," 5,164 ", 913 ," 4,251 "
HH2808,27,505,04026,802705,Savner (M Cl),Urban," 7,169 "," 5,274 ", 288 ," 4,825 ", 84 , 36 , 18 , 8 , -   , 15 ," 1,895 ", 459 ," 1,436 "
HH2808,27,505,04026,802706,Khapa (M Cl),Urban," 3,177 "," 1,695 ", 11 ," 1,513 ", 13 , 155 , 2 , 1 , -   , -   ," 1,482 ", 385 ," 1,097 "
HH2808,27,505,04026,535332,Waghoda (CT),Urban," 1,665 "," 1,556 ", 4 ," 1,536 ", 1 , 15 , -   , -   , -   , -   , 109 , 30 , 79 
HH2808,27,505,04026,535333,Walani (CT),Urban," 1,758 "," 1,315 ", 437 , 682 , 3 , 190 , 1 , -   , -   , 2 , 443 , 3 , 440 
HH2808,27,505,04026,535334,Sillewada (CT),Urban," 1,426 "," 1,172 ", 441 , 379 , 53 , 179 , 5 , -   , -   , 115 , 254 , 8 , 246 
HH2808,27,505,04026,535335,Chandkapur (CT),Urban," 2,375 "," 2,000 "," 1,227 ", 653 , 3 , 117 , -   , -   , -   , -   , 375 , 16 , 359 
HH2808,27,505,04026,535336,Chicholi (CT),Urban," 3,994 "," 3,388 "," 1,095 "," 1,750 ", 9 , 528 , 3 , -   , -   , 3 , 606 , 12 , 594 
HH2808,27,505,04027,000000,Sub-District - Parseoni,Total," 29,327 "," 15,278 ", 869 ," 11,373 ", 219 ," 2,755 ", 38 , 19 , -   , 5 ," 14,049 ", 212 ," 13,837 "
HH2808,27,505,04027,000000,Sub-District - Parseoni,Rural," 20,227 "," 8,301 ", 182 ," 5,472 ", 198 ," 2,405 ", 20 , 19 , -   , 5 ," 11,926 ", 203 ," 11,723 "
HH2808,27,505,04027,000000,Sub-District - Parseoni,Urban," 9,100 "," 6,977 ", 687 ," 5,901 ", 21 , 350 , 18 , -   , -   , -   ," 2,123 ", 9 ," 2,114 "
HH2808,27,505,04027,535451,Tekadi (CT),Urban," 2,418 "," 1,903 ", 411 ," 1,397 ", 7 , 87 , 1 , -   , -   , -   , 515 , 6 , 509 
HH2808,27,505,04027,535452,Kanhan (Pipri) (CT),Urban," 4,648 "," 3,509 ", 164 ," 3,242 ", 3 , 88 , 12 , -   , -   , -   ," 1,139 ", 3 ," 1,136 "
HH2808,27,505,04027,535453,Kandri (CT),Urban," 2,034 "," 1,565 ", 112 ," 1,262 ", 11 , 175 , 5 , -   , -   , -   , 469 , -   , 469 
HH2808,27,505,04028,000000,Sub-District - Ramtek,Total," 33,296 "," 16,817 ", 513 ," 10,488 ", 465 ," 4,905 ", 250 , 16 , -   , 180 ," 16,479 ", 531 ," 15,948 "
HH2808,27,505,04028,000000,Sub-District - Ramtek,Rural," 27,321 "," 12,741 ", 350 ," 7,120 ", 441 ," 4,408 ", 228 , 14 , -   , 180 ," 14,580 ", 132 ," 14,448 "
HH2808,27,505,04028,000000,Sub-District - Ramtek,Urban," 5,975 "," 4,076 ", 163 ," 3,368 ", 24 , 497 , 22 , 2 , -   , -   ," 1,899 ", 399 ," 1,500 "
HH2808,27,505,04028,802707,Ramtek (M Cl),Urban," 4,803 "," 3,384 ", 160 ," 3,030 ", 24 , 167 , 2 , 1 , -   , -   ," 1,419 ", 399 ," 1,020 "
HH2808,27,505,04028,535610,Kandri (CT),Urban," 1,172 ", 692 , 3 , 338 , -   , 330 , 20 , 1 , -   , -   , 480 , -   , 480 
HH2808,27,505,04029,000000,Sub-District - Mauda,Total," 30,650 "," 15,451 ", 451 ," 6,695 ", 219 ," 7,944 ", 71 , 17 , -   , 54 ," 15,199 ", 90 ," 15,109 "
HH2808,27,505,04029,000000,Sub-District - Mauda,Rural," 27,345 "," 12,844 ", 423 ," 5,732 ", 218 ," 6,333 ", 69 , 15 , -   , 54 ," 14,501 ", 81 ," 14,420 "
HH2808,27,505,04029,000000,Sub-District - Mauda,Urban," 3,305 "," 2,607 ", 28 , 963 , 1 ," 1,611 ", 2 , 2 , -   , -   , 698 , 9 , 689 
HH2808,27,505,04029,535734,Mouda (CT),Urban," 3,305 "," 2,607 ", 28 , 963 , 1 ," 1,611 ", 2 , 2 , -   , -   , 698 , 9 , 689 
HH2808,27,505,04030,000000,Sub-District - Kamptee,Total," 46,704 "," 31,913 "," 3,555 "," 21,515 "," 1,155 "," 4,511 ", 481 , 504 , -   , 192 ," 14,791 "," 2,233 "," 12,558 "
HH2808,27,505,04030,000000,Sub-District - Kamptee,Rural," 20,289 "," 11,664 ", 850 ," 6,949 ", 310 ," 3,485 ", 35 , 32 , -   , 3 ," 8,625 ", 132 ," 8,493 "
HH2808,27,505,04030,000000,Sub-District - Kamptee,Urban," 26,415 "," 20,249 "," 2,705 "," 14,566 ", 845 ," 1,026 ", 446 , 472 , -   , 189 ," 6,166 "," 2,101 "," 4,065 "
HH2808,27,505,04030,802708,Kamptee (M Cl),Urban," 16,008 "," 12,854 "," 1,456 "," 8,814 ", 754 , 759 , 423 , 466 , -   , 182 ," 3,154 "," 1,787 "," 1,367 "
HH2808,27,505,04030,802709,Kamptee (CB),Urban," 1,145 ", 678 , 33 , 631 , -   , 6 , 7 , 1 , -   , -   , 467 , 234 , 233 
HH2808,27,505,04030,535809,Mahadula (CT),Urban," 4,875 "," 3,007 "," 1,096 "," 1,829 ", 7 , 48 , 16 , 5 , -   , 6 ," 1,868 ", 13 ," 1,855 "
HH2808,27,505,04030,535810,Koradi (CT),Urban," 1,277 ", 937 , 10 , 879 , 2 , 46 , -   , -   , -   , -   , 340 , 19 , 321 
HH2808,27,505,04030,535811,Yerkheda (CT),Urban," 3,110 "," 2,773 ", 110 ," 2,413 ", 82 , 167 , -   , -   , -   , 1 , 337 , 48 , 289 
HH2808,27,505,04031,000000,Sub-District - Nagpur (Rural),Total," 66,516 "," 49,517 "," 10,834 "," 32,910 ", 377 ," 5,030 ", 143 , 172 , -   , 51 ," 16,999 "," 1,274 "," 15,725 "
HH2808,27,505,04031,000000,Sub-District - Nagpur (Rural),Rural," 32,015 "," 20,463 "," 2,564 "," 14,358 ", 225 ," 3,199 ", 55 , 39 , -   , 23 ," 11,552 ", 513 ," 11,039 "
HH2808,27,505,04031,000000,Sub-District - Nagpur (Rural),Urban," 34,501 "," 29,054 "," 8,270 "," 18,552 ", 152 ," 1,831 ", 88 , 133 , -   , 28 ," 5,447 ", 761 ," 4,686 "
HH2808,27,505,04031,535965,Bhokara (CT),Urban," 1,931 "," 1,634 ", 612 , 958 , 15 , 49 , -   , -   , -   , -   , 297 , -   , 297 
HH2808,27,505,04031,535966,Narsala (CT),Urban," 3,614 "," 3,421 ", 136 ," 3,140 ", 5 , 126 , 4 , 10 , -   , -   , 193 , 1 , 192 
HH2808,27,505,04031,535967,Hudkeshwar bk. (CT),Urban," 5,270 "," 5,210 "," 2,053 "," 3,005 ", 12 , 108 , 2 , 9 , -   , 21 , 60 , 12 , 48 
HH2808,27,505,04031,535968,Borkhedi (CT),Urban," 3,442 "," 3,053 ", 527 ," 1,469 ", 45 , 991 , 17 , 4 , -   , -   , 389 , 4 , 385 
HH2808,27,505,04031,535969,Bori (CT),Urban," 2,764 "," 1,801 ", 120 ," 1,419 ", 33 , 223 , 3 , 1 , -   , 2 , 963 , 35 , 928 
HH2808,27,505,04031,535970,Wadi (CT),Urban," 11,924 "," 9,997 "," 2,583 "," 6,993 ", 30 , 262 , 31 , 93 , -   , 5 ," 1,927 ", 552 ," 1,375 "
HH2808,27,505,04031,535971,Davlameti (CT),Urban," 3,274 "," 2,377 ", 933 ," 1,340 ", 8 , 61 , 30 , 5 , -   , -   , 897 , 47 , 850 
HH2808,27,505,04031,535972,Sonegaon (Nipani) (CT),Urban," 2,282 "," 1,561 "," 1,306 ", 228 , 4 , 11 , 1 , 11 , -   , -   , 721 , 110 , 611 
HH2808,27,505,04032,000000,Sub-District - Nagpur (Urban),Total," 506,353 "," 478,835 "," 416,625 "," 44,049 "," 1,930 "," 7,933 ", 697 ," 4,366 ", 32 ," 3,203 "," 27,518 "," 7,481 "," 20,037 "
HH2808,27,505,04032,000000,Sub-District - Nagpur (Urban),Rural, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH2808,27,505,04032,000000,Sub-District - Nagpur (Urban),Urban," 506,353 "," 478,835 "," 416,625 "," 44,049 "," 1,930 "," 7,933 ", 697 ," 4,366 ", 32 ," 3,203 "," 27,518 "," 7,481 "," 20,037 "
HH2808,27,505,04032,802710,Nagpur (M Corp.),Urban," 506,353 "," 478,835 "," 416,625 "," 44,049 "," 1,930 "," 7,933 ", 697 ," 4,366 ", 32 ," 3,203 "," 27,518 "," 7,481 "," 20,037 "
HH2808,27,505,04033,000000,Sub-District - Hingna,Total," 51,600 "," 31,683 "," 3,467 "," 22,320 ", 400 ," 5,258 ", 107 , 37 , -   , 94 ," 19,917 "," 1,836 "," 18,081 "
HH2808,27,505,04033,000000,Sub-District - Hingna,Rural," 23,923 "," 10,911 ", 687 ," 6,735 ", 246 ," 3,056 ", 86 , 23 , -   , 78 ," 13,012 "," 1,070 "," 11,942 "
HH2808,27,505,04033,000000,Sub-District - Hingna,Urban," 27,677 "," 20,772 "," 2,780 "," 15,585 ", 154 ," 2,202 ", 21 , 14 , -   , 16 ," 6,905 ", 766 ," 6,139 "
HH2808,27,505,04033,536123,Nildoh (CT),Urban," 5,139 "," 3,002 ", 349 ," 2,297 ", 85 , 254 , 7 , 7 , -   , 3 ," 2,137 ", 29 ," 2,108 "
HH2808,27,505,04033,536124,Digdoh (CT),Urban," 8,802 "," 8,151 ", 983 ," 6,211 ", 19 , 926 , 1 , -   , -   , 11 , 651 , 261 , 390 
HH2808,27,505,04033,536125,Wanadongri (CT),Urban," 8,394 "," 6,786 ", 887 ," 5,706 ", 32 , 153 , 4 , 3 , -   , 1 ," 1,608 ", 332 ," 1,276 "
HH2808,27,505,04033,536126,Waddhamana (CT),Urban," 1,303 ", 632 , 21 , 454 , 2 , 153 , 1 , 1 , -   , -   , 671 , 18 , 653 
HH2808,27,505,04033,536127,Nagalwadi (CT),Urban, 619 , 442 , 320 , 120 , -   , 1 , -   , 1 , -   , -   , 177 , 117 , 60 
HH2808,27,505,04033,536128,Isasani (CT),Urban, 911 , 206 , 28 , 78 , 3 , 92 , 5 , -   , -   , -   , 705 , 7 , 698 
HH2808,27,505,04033,536129,Takalghat (CT),Urban," 2,509 "," 1,553 ", 192 , 719 , 13 , 623 , 3 , 2 , -   , 1 , 956 , 2 , 954 
HH2808,27,505,04034,000000,Sub-District - Umred,Total," 34,577 "," 19,906 "," 2,194 "," 12,744 ", 363 ," 4,338 ", 65 , 83 , -   , 119 ," 14,671 "," 1,265 "," 13,406 "
HH2808,27,505,04034,000000,Sub-District - Umred,Rural," 22,697 "," 10,637 "," 1,612 "," 4,559 ", 225 ," 4,030 ", 20 , 74 , -   , 117 ," 12,060 ", 391 ," 11,669 "
HH2808,27,505,04034,000000,Sub-District - Umred,Urban," 11,880 "," 9,269 ", 582 ," 8,185 ", 138 , 308 , 45 , 9 , -   , 2 ," 2,611 ", 874 ," 1,737 "
HH2808,27,505,04034,802711,Umred (M Cl),Urban," 11,880 "," 9,269 ", 582 ," 8,185 ", 138 , 308 , 45 , 9 , -   , 2 ," 2,611 ", 874 ," 1,737 "
HH2808,27,505,04035,000000,Sub-District - Kuhi,Total," 28,356 "," 12,121 ", 682 ," 6,635 ", 579 ," 4,038 ", 150 , 19 , -   , 18 ," 16,235 ", 135 ," 16,100 "
HH2808,27,505,04035,000000,Sub-District - Kuhi,Rural," 28,356 "," 12,121 ", 682 ," 6,635 ", 579 ," 4,038 ", 150 , 19 , -   , 18 ," 16,235 ", 135 ," 16,100 "
HH2808,27,505,04035,000000,Sub-District - Kuhi,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH2808,27,505,04036,000000,Sub-District - Bhiwapur,Total," 20,000 "," 7,783 ", 223 ," 5,212 ", 80 ," 2,129 ", 110 , 27 , -   , 2 ," 12,217 ", 59 ," 12,158 "
HH2808,27,505,04036,000000,Sub-District - Bhiwapur,Rural," 20,000 "," 7,783 ", 223 ," 5,212 ", 80 ," 2,129 ", 110 , 27 , -   , 2 ," 12,217 ", 59 ," 12,158 "
HH2808,27,505,04036,000000,Sub-District - Bhiwapur,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH2808,27,506,00000,000000,District - Bhandara,Total," 275,773 "," 168,707 "," 6,282 "," 75,847 "," 8,561 "," 70,854 "," 6,042 ", 250 , 529 , 342 ," 107,066 "," 4,013 "," 103,053 "
HH2808,27,506,00000,000000,District - Bhandara,Rural," 223,299 "," 124,493 "," 3,747 "," 42,719 "," 7,221 "," 63,813 "," 5,930 ", 223 , 529 , 311 ," 98,806 "," 1,253 "," 97,553 "
HH2808,27,506,00000,000000,District - Bhandara,Urban," 52,474 "," 44,214 "," 2,535 "," 33,128 "," 1,340 "," 7,041 ", 112 , 27 , -   , 31 ," 8,260 "," 2,760 "," 5,500 "
HH2808,27,506,04037,000000,Sub-District - Tumsar,Total," 49,673 "," 26,609 "," 1,079 "," 14,008 "," 1,371 "," 8,955 ", 935 , 24 , 77 , 160 ," 23,064 "," 1,268 "," 21,796 "
HH2808,27,506,04037,000000,Sub-District - Tumsar,Rural," 38,746 "," 18,418 ", 895 ," 6,601 "," 1,256 "," 8,487 ", 923 , 22 , 77 , 157 ," 20,328 ", 276 ," 20,052 "
HH2808,27,506,04037,000000,Sub-District - Tumsar,Urban," 10,927 "," 8,191 ", 184 ," 7,407 ", 115 , 468 , 12 , 2 , -   , 3 ," 2,736 ", 992 ," 1,744 "
HH2808,27,506,04037,802712,Tumsar (M Cl),Urban," 9,906 "," 7,795 ", 161 ," 7,276 ", 95 , 250 , 8 , 2 , -   , 3 ," 2,111 ", 969 ," 1,142 "
HH2808,27,506,04037,536793,Chikhala (CT),Urban," 1,021 ", 396 , 23 , 131 , 20 , 218 , 4 , -   , -   , -   , 625 , 23 , 602 
HH2808,27,506,04038,000000,Sub-District - Mohadi,Total," 33,851 "," 21,313 ", 581 ," 6,927 "," 1,432 "," 11,817 ", 485 , 24 , -   , 47 ," 12,538 ", 461 ," 12,077 "
HH2808,27,506,04038,000000,Sub-District - Mohadi,Rural," 30,794 "," 18,736 ", 493 ," 5,767 "," 1,420 "," 10,532 ", 458 , 22 , -   , 44 ," 12,058 ", 226 ," 11,832 "
HH2808,27,506,04038,000000,Sub-District - Mohadi,Urban," 3,057 "," 2,577 ", 88 ," 1,160 ", 12 ," 1,285 ", 27 , 2 , -   , 3 , 480 , 235 , 245 
HH2808,27,506,04038,536901,Warthi (CT),Urban," 3,057 "," 2,577 ", 88 ," 1,160 ", 12 ," 1,285 ", 27 , 2 , -   , 3 , 480 , 235 , 245 
HH2808,27,506,04039,000000,Sub-District - Bhandara,Total," 63,103 "," 46,307 "," 2,707 "," 28,810 "," 2,063 "," 11,516 ", 811 , 104 , 238 , 58 ," 16,796 "," 1,441 "," 15,355 "
HH2808,27,506,04039,000000,Sub-District - Bhandara,Rural," 34,940 "," 20,980 ", 642 ," 9,204 ", 927 ," 9,058 ", 791 , 86 , 238 , 34 ," 13,960 ", 160 ," 13,800 "
HH2808,27,506,04039,000000,Sub-District - Bhandara,Urban," 28,163 "," 25,327 "," 2,065 "," 19,606 "," 1,136 "," 2,458 ", 20 , 18 , -   , 24 ," 2,836 "," 1,281 "," 1,555 "
HH2808,27,506,04039,802713,Bhandara (M Cl),Urban," 20,051 "," 18,048 "," 1,758 "," 14,653 ", 142 ," 1,445 ", 11 , 16 , -   , 23 ," 2,003 "," 1,177 ", 826 
HH2808,27,506,04039,537068,Thana (CT),Urban," 1,417 "," 1,312 ", 16 , 720 , 13 , 563 , -   , -   , -   , -   , 105 , -   , 105 
HH2808,27,506,04039,537069,Shahapur (CT),Urban," 1,040 ", 862 , 34 , 86 , 734 , 4 , 3 , -   , -   , 1 , 178 , 2 , 176 
HH2808,27,506,04039,537070,Bela (CT),Urban," 1,306 "," 1,096 ", 28 , 902 , 113 , 52 , 1 , -   , -   , -   , 210 , 41 , 169 
HH2808,27,506,04039,537071,Ganeshpur (CT),Urban," 2,144 "," 2,063 ", 91 ," 1,605 ", 4 , 360 , 3 , -   , -   , -   , 81 , 56 , 25 
HH2808,27,506,04039,537072,Sawari Jawharnagar (CT),Urban," 2,205 "," 1,946 ", 138 ," 1,640 ", 130 , 34 , 2 , 2 , -   , -   , 259 , 5 , 254 
HH2808,27,506,04040,000000,Sub-District - Sakoli,Total," 32,319 "," 17,023 ", 513 ," 6,656 ", 775 ," 7,317 "," 1,687 ", 24 , 20 , 31 ," 15,296 ", 173 ," 15,123 "
HH2808,27,506,04040,000000,Sub-District - Sakoli,Rural," 28,926 "," 14,272 ", 369 ," 4,531 ", 744 ," 6,886 "," 1,669 ", 23 , 20 , 30 ," 14,654 ", 89 ," 14,565 "
HH2808,27,506,04040,000000,Sub-District - Sakoli,Urban," 3,393 "," 2,751 ", 144 ," 2,125 ", 31 , 431 , 18 , 1 , -   , 1 , 642 , 84 , 558 
HH2808,27,506,04040,537168,Sakoli (CT),Urban," 3,393 "," 2,751 ", 144 ," 2,125 ", 31 , 431 , 18 , 1 , -   , 1 , 642 , 84 , 558 
HH2808,27,506,04041,000000,Sub-District - Lakhani,Total," 30,868 "," 17,496 ", 466 ," 6,098 ", 997 ," 9,149 ", 742 , 20 , -   , 24 ," 13,372 ", 255 ," 13,117 "
HH2808,27,506,04041,000000,Sub-District - Lakhani,Rural," 29,096 "," 15,785 ", 455 ," 5,000 ", 995 ," 8,554 ", 737 , 20 , -   , 24 ," 13,311 ", 253 ," 13,058 "
HH2808,27,506,04041,000000,Sub-District - Lakhani,Urban," 1,772 "," 1,711 ", 11 ," 1,098 ", 2 , 595 , 5 , -   , -   , -   , 61 , 2 , 59 
HH2808,27,506,04041,537272,Murmadi (CT),Urban," 1,772 "," 1,711 ", 11 ," 1,098 ", 2 , 595 , 5 , -   , -   , -   , 61 , 2 , 59 
HH2808,27,506,04042,000000,Sub-District - Pauni,Total," 36,828 "," 24,266 ", 640 ," 6,372 "," 1,060 "," 15,326 ", 674 , 18 , 173 , 3 ," 12,562 ", 325 ," 12,237 "
HH2808,27,506,04042,000000,Sub-District - Pauni,Rural," 31,666 "," 20,609 ", 597 ," 4,640 "," 1,016 "," 13,522 ", 644 , 14 , 173 , 3 ," 11,057 ", 159 ," 10,898 "
HH2808,27,506,04042,000000,Sub-District - Pauni,Urban," 5,162 "," 3,657 ", 43 ," 1,732 ", 44 ," 1,804 ", 30 , 4 , -   , -   ," 1,505 ", 166 ," 1,339 "
HH2808,27,506,04042,802714,Pauni (M Cl),Urban," 5,162 "," 3,657 ", 43 ," 1,732 ", 44 ," 1,804 ", 30 , 4 , -   , -   ," 1,505 ", 166 ," 1,339 "
HH2808,27,506,04043,000000,Sub-District - Lakhandur,Total," 29,131 "," 15,693 ", 296 ," 6,976 ", 863 ," 6,774 ", 708 , 36 , 21 , 19 ," 13,438 ", 90 ," 13,348 "
HH2808,27,506,04043,000000,Sub-District - Lakhandur,Rural," 29,131 "," 15,693 ", 296 ," 6,976 ", 863 ," 6,774 ", 708 , 36 , 21 , 19 ," 13,438 ", 90 ," 13,348 "
HH2808,27,506,04043,000000,Sub-District - Lakhandur,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH2808,27,507,00000,000000,District - Gondiya,Total," 289,431 "," 151,792 "," 5,489 "," 62,761 "," 11,098 "," 56,718 "," 15,206 ", 245 , 22 , 253 ," 137,639 "," 3,012 "," 134,627 "
HH2808,27,507,00000,000000,District - Gondiya,Rural," 241,802 "," 114,972 "," 3,246 "," 33,391 "," 10,590 "," 52,497 "," 14,882 ", 213 , 22 , 131 ," 126,830 "," 1,641 "," 125,189 "
HH2808,27,507,00000,000000,District - Gondiya,Urban," 47,629 "," 36,820 "," 2,243 "," 29,370 ", 508 ," 4,221 ", 324 , 32 , -   , 122 ," 10,809 "," 1,371 "," 9,438 "
HH2808,27,507,04044,000000,Sub-District - Tirora,Total," 38,981 "," 20,560 ", 722 ," 6,079 "," 1,901 "," 9,703 "," 2,086 ", 22 , -   , 47 ," 18,421 ", 412 ," 18,009 "
HH2808,27,507,04044,000000,Sub-District - Tirora,Rural," 33,610 "," 16,903 ", 302 ," 4,080 "," 1,786 "," 8,608 "," 2,060 ", 21 , -   , 46 ," 16,707 ", 296 ," 16,411 "
HH2808,27,507,04044,000000,Sub-District - Tirora,Urban," 5,371 "," 3,657 ", 420 ," 1,999 ", 115 ," 1,095 ", 26 , 1 , -   , 1 ," 1,714 ", 116 ," 1,598 "
HH2808,27,507,04044,802715,Tirora (M Cl),Urban," 5,371 "," 3,657 ", 420 ," 1,999 ", 115 ," 1,095 ", 26 , 1 , -   , 1 ," 1,714 ", 116 ," 1,598 "
HH2808,27,507,04045,000000,Sub-District - Goregaon,Total," 28,103 "," 15,084 ", 452 ," 4,757 "," 1,718 "," 6,181 "," 1,945 ", 17 , -   , 14 ," 13,019 ", 455 ," 12,564 "
HH2808,27,507,04045,000000,Sub-District - Goregaon,Rural," 28,103 "," 15,084 ", 452 ," 4,757 "," 1,718 "," 6,181 "," 1,945 ", 17 , -   , 14 ," 13,019 ", 455 ," 12,564 "
HH2808,27,507,04045,000000,Sub-District - Goregaon,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH2808,27,507,04046,000000,Sub-District - Gondiya,Total," 89,272 "," 49,116 "," 2,304 "," 30,764 "," 2,380 "," 10,816 "," 2,766 ", 64 , -   , 22 ," 40,156 "," 1,560 "," 38,596 "
HH2808,27,507,04046,000000,Sub-District - Gondiya,Rural," 55,053 "," 21,678 ", 659 ," 6,938 "," 2,138 "," 9,340 "," 2,552 ", 41 , -   , 10 ," 33,375 ", 341 ," 33,034 "
HH2808,27,507,04046,000000,Sub-District - Gondiya,Urban," 34,219 "," 27,438 "," 1,645 "," 23,826 ", 242 ," 1,476 ", 214 , 23 , -   , 12 ," 6,781 "," 1,219 "," 5,562 "
HH2808,27,507,04046,802716,Gondiya (M Cl),Urban," 27,787 "," 23,928 "," 1,292 "," 21,514 ", 192 , 803 , 99 , 21 , -   , 7 ," 3,859 "," 1,108 "," 2,751 "
HH2808,27,507,04046,537887,Kudwa (CT),Urban," 2,402 "," 1,577 ", 303 ," 1,198 ", 14 , 53 , 9 , -   , -   , -   , 825 , 88 , 737 
HH2808,27,507,04046,537888,Katangi Kala (CT),Urban," 1,380 ", 741 , 22 , 397 , 24 , 285 , 11 , -   , -   , 2 , 639 , 1 , 638 
HH2808,27,507,04046,537889,Fulchur (CT),Urban," 1,130 ", 598 , 21 , 556 , 2 , 17 , 1 , 1 , -   , -   , 532 , 1 , 531 
HH2808,27,507,04046,537890,Khamari (CT),Urban," 1,520 ", 594 , 7 , 161 , 10 , 318 , 94 , 1 , -   , 3 , 926 , 21 , 905 
HH2808,27,507,04047,000000,Sub-District - Amgaon,Total," 28,263 "," 14,672 ", 506 ," 5,268 "," 1,231 "," 5,905 "," 1,605 ", 38 , -   , 119 ," 13,591 ", 207 ," 13,384 "
HH2808,27,507,04047,000000,Sub-District - Amgaon,Rural," 24,519 "," 12,146 ", 389 ," 3,408 "," 1,126 "," 5,623 "," 1,555 ", 34 , -   , 11 ," 12,373 ", 177 ," 12,196 "
HH2808,27,507,04047,000000,Sub-District - Amgaon,Urban," 3,744 "," 2,526 ", 117 ," 1,860 ", 105 , 282 , 50 , 4 , -   , 108 ," 1,218 ", 30 ," 1,188 "
HH2808,27,507,04047,537972,Amgaon bk. (CT),Urban," 2,291 "," 1,353 ", 28 , 960 , 91 , 261 , 9 , 4 , -   , -   , 938 , -   , 938 
HH2808,27,507,04047,537973,Risama (CT),Urban," 1,453 "," 1,173 ", 89 , 900 , 14 , 21 , 41 , -   , -   , 108 , 280 , 30 , 250 
HH2808,27,507,04048,000000,Sub-District - Salekasa,Total," 19,464 "," 7,464 ", 243 ," 2,316 ", 741 ," 2,810 "," 1,323 ", 27 , -   , 4 ," 12,000 ", 27 ," 11,973 "
HH2808,27,507,04048,000000,Sub-District - Salekasa,Rural," 18,334 "," 6,664 ", 229 ," 1,761 ", 725 ," 2,606 "," 1,313 ", 27 , -   , 3 ," 11,670 ", 25 ," 11,645 "
HH2808,27,507,04048,000000,Sub-District - Salekasa,Urban," 1,130 ", 800 , 14 , 555 , 16 , 204 , 10 , -   , -   , 1 , 330 , 2 , 328 
HH2808,27,507,04048,538065,Amgaon kh. (CT),Urban," 1,130 ", 800 , 14 , 555 , 16 , 204 , 10 , -   , -   , 1 , 330 , 2 , 328 
HH2808,27,507,04049,000000,Sub-District - Sadak-Arjuni,Total," 26,394 "," 12,617 ", 380 ," 3,506 ", 811 ," 6,471 "," 1,420 ", 16 , -   , 13 ," 13,777 ", 140 ," 13,637 "
HH2808,27,507,04049,000000,Sub-District - Sadak-Arjuni,Rural," 26,394 "," 12,617 ", 380 ," 3,506 ", 811 ," 6,471 "," 1,420 ", 16 , -   , 13 ," 13,777 ", 140 ," 13,637 "
HH2808,27,507,04049,000000,Sub-District - Sadak-Arjuni,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH2808,27,507,04050,000000,Sub-District - Arjuni Morgaon,Total," 34,401 "," 20,421 ", 513 ," 6,186 "," 1,729 "," 9,692 "," 2,252 ", 28 , -   , 21 ," 13,980 ", 111 ," 13,869 "
HH2808,27,507,04050,000000,Sub-District - Arjuni Morgaon,Rural," 34,401 "," 20,421 ", 513 ," 6,186 "," 1,729 "," 9,692 "," 2,252 ", 28 , -   , 21 ," 13,980 ", 111 ," 13,869 "
HH2808,27,507,04050,000000,Sub-District - Arjuni Morgaon,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH2808,27,507,04051,000000,Sub-District - Deori,Total," 24,553 "," 11,858 ", 369 ," 3,885 ", 587 ," 5,140 "," 1,809 ", 33 , 22 , 13 ," 12,695 ", 100 ," 12,595 "
HH2808,27,507,04051,000000,Sub-District - Deori,Rural," 21,388 "," 9,459 ", 322 ," 2,755 ", 557 ," 3,976 "," 1,785 ", 29 , 22 , 13 ," 11,929 ", 96 ," 11,833 "
