TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Total_Households,Toilet_Inside,Toilet_Inside_Flush_Sewer,Toilet_Inside_Flush_Septic,Toilet_Inside_Flush_Other,Toilet_Inside_Pit_Ventilated,Toilet_Inside_Pit_Open,Toilet_Inside_Open_Drain,Toilet_Inside_Manual,Toilet_Inside_Pig,Toilet_Outside,Toilet_Public,Toilet_None
HH2808,27,499,03970,802657,Parola (M Cl),Urban," 7,160 "," 3,573 ", 279 ," 3,256 ", 28 , 7 , 1 , -   , -   , 2 ," 3,587 "," 2,233 "," 1,354 "
HH2808,27,499,03971,000000,Sub-District - Bhadgaon,Total," 34,677 "," 7,809 ", 455 ," 6,327 ", 262 , 557 , 114 , 49 , 17 , 28 ," 26,868 "," 5,585 "," 21,283 "
HH2808,27,499,03971,000000,Sub-District - Bhadgaon,Rural," 27,068 "," 4,349 ", 335 ," 3,225 ", 200 , 499 , 16 , 31 , 17 , 26 ," 22,719 "," 4,439 "," 18,280 "
HH2808,27,499,03971,000000,Sub-District - Bhadgaon,Urban," 7,609 "," 3,460 ", 120 ," 3,102 ", 62 , 58 , 98 , 18 , -   , 2 ," 4,149 "," 1,146 "," 3,003 "
HH2808,27,499,03971,802658,Bhadgaon (M Cl),Urban," 7,609 "," 3,460 ", 120 ," 3,102 ", 62 , 58 , 98 , 18 , -   , 2 ," 4,149 "," 1,146 "," 3,003 "
HH2808,27,499,03972,000000,Sub-District - Chalisgaon,Total," 89,425 "," 21,483 "," 1,278 "," 17,794 ", 464 ," 1,711 ", 98 , 70 , -   , 68 ," 67,942 "," 16,324 "," 51,618 "
HH2808,27,499,03972,000000,Sub-District - Chalisgaon,Rural," 67,787 "," 7,903 ", 468 ," 5,755 ", 286 ," 1,219 ", 51 , 66 , -   , 58 ," 59,884 "," 11,671 "," 48,213 "
HH2808,27,499,03972,000000,Sub-District - Chalisgaon,Urban," 21,638 "," 13,580 ", 810 ," 12,039 ", 178 , 492 , 47 , 4 , -   , 10 ," 8,058 "," 4,653 "," 3,405 "
HH2808,27,499,03972,802659,Chalisgaon(M Cl),Urban," 19,429 "," 11,826 ", 740 ," 10,432 ", 177 , 420 , 46 , 4 , -   , 7 ," 7,603 "," 4,651 "," 2,952 "
HH2808,27,499,03972,527863,Takali Pr. Chalisgaon (CT),Urban," 2,209 "," 1,754 ", 70 ," 1,607 ", 1 , 72 , 1 , -   , -   , 3 , 455 , 2 , 453 
HH2808,27,499,03973,000000,Sub-District - Pachora,Total," 60,656 "," 13,815 "," 1,374 "," 10,477 ", 329 ," 1,471 ", 67 , 78 , -   , 19 ," 46,841 "," 8,612 "," 38,229 "
HH2808,27,499,03973,000000,Sub-District - Pachora,Rural," 48,754 "," 7,636 ", 504 ," 5,356 ", 263 ," 1,363 ", 65 , 69 , -   , 16 ," 41,118 "," 6,514 "," 34,604 "
HH2808,27,499,03973,000000,Sub-District - Pachora,Urban," 11,902 "," 6,179 ", 870 ," 5,121 ", 66 , 108 , 2 , 9 , -   , 3 ," 5,723 "," 2,098 "," 3,625 "
HH2808,27,499,03973,802660,Pachora (M Cl) ,Urban," 11,890 "," 6,177 ", 870 ," 5,119 ", 66 , 108 , 2 , 9 , -   , 3 ," 5,713 "," 2,098 "," 3,615 "
HH2808,27,499,03973,527991,Pachora (Rural) (CT),Urban, 12 , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , 10 , -   , 10 
HH2808,27,499,03974,000000,Sub-District - Jamner,Total," 70,380 "," 15,260 "," 1,023 "," 11,303 ", 810 ," 1,765 ", 198 , 148 , -   , 13 ," 55,120 "," 7,263 "," 47,857 "
HH2808,27,499,03974,000000,Sub-District - Jamner,Rural," 61,157 "," 9,789 ", 831 ," 6,481 ", 628 ," 1,509 ", 187 , 140 , -   , 13 ," 51,368 "," 6,226 "," 45,142 "
HH2808,27,499,03974,000000,Sub-District - Jamner,Urban," 9,223 "," 5,471 ", 192 ," 4,822 ", 182 , 256 , 11 , 8 , -   , -   ," 3,752 "," 1,037 "," 2,715 "
HH2808,27,499,03974,802661,Jamner (M Cl) ,Urban," 9,223 "," 5,471 ", 192 ," 4,822 ", 182 , 256 , 11 , 8 , -   , -   ," 3,752 "," 1,037 "," 2,715 "
HH2808,27,500,00000,000000,District - Buldana,Total," 553,031 "," 195,038 "," 6,618 "," 110,552 "," 13,816 "," 58,972 "," 3,715 ", 789 , 212 , 364 ," 357,993 "," 14,803 "," 343,190 "
HH2808,27,500,00000,000000,District - Buldana,Rural," 445,247 "," 129,428 "," 4,247 "," 52,243 "," 12,288 "," 56,512 "," 3,355 ", 481 , 16 , 286 ," 315,819 "," 5,107 "," 310,712 "
HH2808,27,500,00000,000000,District - Buldana,Urban," 107,784 "," 65,610 "," 2,371 "," 58,309 "," 1,528 "," 2,460 ", 360 , 308 , 196 , 78 ," 42,174 "," 9,696 "," 32,478 "
