TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Kitchen_Type,Total_Households,Firewood,CropResidue,Cowdung,Coal,Kerosene,LPG,Electricity,Biogas,Other,NoCooking
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Total," 23,830,580 "," 10,142,773 "," 1,082,501 "," 293,219 "," 52,705 "," 1,540,670 "," 10,335,795 "," 13,143 "," 159,887 "," 29,763 "," 180,124 "
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Cooking inside house:," 21,818,504 "," 8,752,376 "," 855,830 "," 255,992 "," 47,524 "," 1,508,346 "," 10,206,838 "," 11,676 "," 153,735 "," 26,187 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Has Kitchen," 16,504,564 "," 5,582,134 "," 413,609 "," 186,247 "," 34,541 "," 910,832 "," 9,209,701 "," 8,399 "," 140,728 "," 18,373 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Does not have kitchen," 5,313,940 "," 3,170,242 "," 442,221 "," 69,745 "," 12,983 "," 597,514 "," 997,137 "," 3,277 "," 13,007 "," 7,814 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Cooking outside house:," 1,831,952 "," 1,390,397 "," 226,671 "," 37,227 "," 5,181 "," 32,324 "," 128,957 "," 1,467 "," 6,152 "," 3,576 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Has Kitchen," 829,592 "," 637,916 "," 102,855 "," 19,266 "," 2,420 "," 12,092 "," 50,464 ", 604 ," 2,325 "," 1,650 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Does not have kitchen," 1,002,360 "," 752,481 "," 123,816 "," 17,961 "," 2,761 "," 20,232 "," 78,493 ", 863 ," 3,827 "," 1,926 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,No Cooking," 180,124 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 180,124 "
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Total," 13,016,652 "," 8,973,762 "," 1,003,765 "," 262,860 "," 16,119 "," 215,421 "," 2,326,765 "," 8,558 "," 136,215 "," 15,274 "," 57,913 "
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Cooking inside house:," 11,281,713 "," 7,678,570 "," 783,393 "," 227,945 "," 12,391 "," 202,455 "," 2,226,954 "," 7,195 "," 130,414 "," 12,396 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Has Kitchen," 7,709,918 "," 4,903,018 "," 367,881 "," 166,191 "," 8,598 "," 143,422 "," 1,987,601 "," 4,806 "," 120,100 "," 8,301 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Does not have kitchen," 3,571,795 "," 2,775,552 "," 415,512 "," 61,754 "," 3,793 "," 59,033 "," 239,353 "," 2,389 "," 10,314 "," 4,095 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Cooking outside house:," 1,677,026 "," 1,295,192 "," 220,372 "," 34,915 "," 3,728 "," 12,966 "," 99,811 "," 1,363 "," 5,801 "," 2,878 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Has Kitchen," 759,100 "," 595,806 "," 99,763 "," 17,955 "," 1,848 "," 4,634 "," 35,110 ", 540 ," 2,086 "," 1,358 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Does not have kitchen," 917,926 "," 699,386 "," 120,609 "," 16,960 "," 1,880 "," 8,332 "," 64,701 ", 823 ," 3,715 "," 1,520 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,No Cooking," 57,913 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 57,913 "
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Total," 10,813,928 "," 1,169,011 "," 78,736 "," 30,359 "," 36,586 "," 1,325,249 "," 8,009,030 "," 4,585 "," 23,672 "," 14,489 "," 122,211 "
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Cooking inside house:," 10,536,791 "," 1,073,806 "," 72,437 "," 28,047 "," 35,133 "," 1,305,891 "," 7,979,884 "," 4,481 "," 23,321 "," 13,791 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Has Kitchen," 8,794,646 "," 679,116 "," 45,728 "," 20,056 "," 25,943 "," 767,410 "," 7,222,100 "," 3,593 "," 20,628 "," 10,072 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Does not have kitchen," 1,742,145 "," 394,690 "," 26,709 "," 7,991 "," 9,190 "," 538,481 "," 757,784 ", 888 ," 2,693 "," 3,719 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Cooking outside house:," 154,926 "," 95,205 "," 6,299 "," 2,312 "," 1,453 "," 19,358 "," 29,146 ", 104 , 351 , 698 , -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Has Kitchen," 70,492 "," 42,110 "," 3,092 "," 1,311 ", 572 ," 7,458 "," 15,354 ", 64 , 239 , 292 , -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Does not have kitchen," 84,434 "," 53,095 "," 3,207 "," 1,001 ", 881 ," 11,900 "," 13,792 ", 40 , 112 , 406 , -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,No Cooking," 122,211 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 122,211 "
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Total," 2,665,481 "," 54,944 "," 9,957 "," 3,053 "," 1,488 "," 468,748 "," 2,081,829 "," 1,063 "," 7,657 "," 4,806 "," 31,936 "
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Cooking inside house:," 2,620,247 "," 53,720 "," 9,506 "," 2,928 "," 1,417 "," 463,049 "," 2,076,287 "," 1,058 "," 7,588 "," 4,694 ", -   
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Has Kitchen," 2,094,845 "," 45,016 "," 7,218 "," 1,919 ", 967 ," 262,038 "," 1,766,628 ", 923 ," 6,535 "," 3,601 ", -   
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Does not have kitchen," 525,402 "," 8,704 "," 2,288 "," 1,009 ", 450 ," 201,011 "," 309,659 ", 135 ," 1,053 "," 1,093 ", -   
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Cooking outside house:," 13,298 "," 1,224 ", 451 , 125 , 71 ," 5,699 "," 5,542 ", 5 , 69 , 112 , -   
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Has Kitchen," 6,587 ", 675 , 403 , 43 , 24 ," 2,190 "," 3,208 ", 4 , 31 , 9 , -   
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Does not have kitchen," 6,711 ", 549 , 48 , 82 , 47 ," 3,509 "," 2,334 ", 1 , 38 , 103 , -   
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,No Cooking," 31,936 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 31,936 "
HH3410,27,497,00000,000000,District - Nandurbar,Total,Total," 319,623 "," 220,610 "," 32,960 "," 6,910 ", 289 ," 2,637 "," 54,335 ", 170 , 407 , 395 , 910 
HH3410,27,497,00000,000000,District - Nandurbar,Total,Cooking inside house:," 307,273 "," 211,902 "," 31,470 "," 6,547 ", 254 ," 2,574 "," 53,597 ", 158 , 396 , 375 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Total,Has Kitchen," 149,147 "," 87,995 "," 10,299 "," 2,361 ", 175 ," 1,580 "," 46,139 ", 94 , 334 , 170 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Total,Does not have kitchen," 158,126 "," 123,907 "," 21,171 "," 4,186 ", 79 , 994 ," 7,458 ", 64 , 62 , 205 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Total,Cooking outside house:," 11,440 "," 8,708 "," 1,490 ", 363 , 35 , 63 , 738 , 12 , 11 , 20 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Total,Has Kitchen," 3,911 "," 2,909 ", 604 , 189 , 21 , 17 , 161 , 2 , 2 , 6 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Total,Does not have kitchen," 7,529 "," 5,799 ", 886 , 174 , 14 , 46 , 577 , 10 , 9 , 14 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Total,No Cooking, 910 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 910 
HH3410,27,497,00000,000000,District - Nandurbar,Rural,Total," 270,533 "," 206,902 "," 31,902 "," 6,336 ", 200 ," 1,062 "," 22,775 ", 161 , 342 , 358 , 495 
HH3410,27,497,00000,000000,District - Nandurbar,Rural,Cooking inside house:," 259,381 "," 198,623 "," 30,485 "," 6,028 ", 176 ," 1,035 "," 22,212 ", 149 , 333 , 340 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Rural,Has Kitchen," 112,107 "," 80,790 "," 9,832 "," 2,158 ", 118 , 545 ," 18,150 ", 88 , 282 , 144 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Rural,Does not have kitchen," 147,274 "," 117,833 "," 20,653 "," 3,870 ", 58 , 490 ," 4,062 ", 61 , 51 , 196 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Rural,Cooking outside house:," 10,657 "," 8,279 "," 1,417 ", 308 , 24 , 27 , 563 , 12 , 9 , 18 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Rural,Has Kitchen," 3,523 "," 2,700 ", 573 , 149 , 14 , 11 , 69 , 2 , -   , 5 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Rural,Does not have kitchen," 7,134 "," 5,579 ", 844 , 159 , 10 , 16 , 494 , 10 , 9 , 13 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Rural,No Cooking, 495 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 495 
HH3410,27,497,00000,000000,District - Nandurbar,Urban,Total," 49,090 "," 13,708 "," 1,058 ", 574 , 89 ," 1,575 "," 31,560 ", 9 , 65 , 37 , 415 
HH3410,27,497,00000,000000,District - Nandurbar,Urban,Cooking inside house:," 47,892 "," 13,279 ", 985 , 519 , 78 ," 1,539 "," 31,385 ", 9 , 63 , 35 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Urban,Has Kitchen," 37,040 "," 7,205 ", 467 , 203 , 57 ," 1,035 "," 27,989 ", 6 , 52 , 26 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Urban,Does not have kitchen," 10,852 "," 6,074 ", 518 , 316 , 21 , 504 ," 3,396 ", 3 , 11 , 9 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Urban,Cooking outside house:, 783 , 429 , 73 , 55 , 11 , 36 , 175 , -   , 2 , 2 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Urban,Has Kitchen, 388 , 209 , 31 , 40 , 7 , 6 , 92 , -   , 2 , 1 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Urban,Does not have kitchen, 395 , 220 , 42 , 15 , 4 , 30 , 83 , -   , -   , 1 , -   
HH3410,27,497,00000,000000,District - Nandurbar,Urban,No Cooking, 415 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 415 
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Total,Total," 45,360 "," 39,317 "," 2,695 ", 650 , 37 , 272 ," 2,212 ", 25 , 8 , 15 , 129 
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Total,Cooking inside house:," 43,741 "," 38,187 "," 2,432 ", 631 , 36 , 262 ," 2,148 ", 22 , 8 , 15 , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Total,Has Kitchen," 16,533 "," 13,596 ", 776 , 107 , 13 , 169 ," 1,846 ", 15 , 6 , 5 , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Total,Does not have kitchen," 27,208 "," 24,591 "," 1,656 ", 524 , 23 , 93 , 302 , 7 , 2 , 10 , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Total,Cooking outside house:," 1,490 "," 1,130 ", 263 , 19 , 1 , 10 , 64 , 3 , -   , -   , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Total,Has Kitchen, 664 , 415 , 171 , 11 , -   , 8 , 58 , 1 , -   , -   , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Total,Does not have kitchen, 826 , 715 , 92 , 8 , 1 , 2 , 6 , 2 , -   , -   , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Total,No Cooking, 129 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 129 
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Rural,Total," 41,213 "," 37,218 "," 2,594 ", 588 , 20 , 100 , 567 , 22 , 5 , 13 , 86 
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Rural,Cooking inside house:," 39,787 "," 36,188 "," 2,337 ", 569 , 19 , 96 , 541 , 19 , 5 , 13 , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Rural,Has Kitchen," 14,317 "," 12,981 ", 711 , 87 , 2 , 53 , 463 , 12 , 4 , 4 , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Rural,Does not have kitchen," 25,470 "," 23,207 "," 1,626 ", 482 , 17 , 43 , 78 , 7 , 1 , 9 , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Rural,Cooking outside house:," 1,340 "," 1,030 ", 257 , 19 , 1 , 4 , 26 , 3 , -   , -   , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Rural,Has Kitchen, 556 , 354 , 166 , 11 , -   , 4 , 20 , 1 , -   , -   , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Rural,Does not have kitchen, 784 , 676 , 91 , 8 , 1 , -   , 6 , 2 , -   , -   , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Rural,No Cooking, 86 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 86 
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Urban,Total," 4,147 "," 2,099 ", 101 , 62 , 17 , 172 ," 1,645 ", 3 , 3 , 2 , 43 
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Urban,Cooking inside house:," 3,954 "," 1,999 ", 95 , 62 , 17 , 166 ," 1,607 ", 3 , 3 , 2 , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Urban,Has Kitchen," 2,216 ", 615 , 65 , 20 , 11 , 116 ," 1,383 ", 3 , 2 , 1 , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Urban,Does not have kitchen," 1,738 "," 1,384 ", 30 , 42 , 6 , 50 , 224 , -   , 1 , 1 , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Urban,Cooking outside house:, 150 , 100 , 6 , -   , -   , 6 , 38 , -   , -   , -   , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Urban,Has Kitchen, 108 , 61 , 5 , -   , -   , 4 , 38 , -   , -   , -   , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Urban,Does not have kitchen, 42 , 39 , 1 , -   , -   , 2 , -   , -   , -   , -   , -   
HH3410,27,497,03950,000000,Sub-District - Akkalkuwa,Urban,No Cooking, 43 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 43 
HH3410,27,497,03950,525192,Khapar (CT),Urban,Total," 1,426 ", 640 , 73 , 51 , 15 , 43 , 589 , -   , 3 , 1 , 11 
HH3410,27,497,03950,525192,Khapar (CT),Urban,Cooking inside house:," 1,404 ", 636 , 68 , 51 , 15 , 42 , 588 , -   , 3 , 1 , -   
HH3410,27,497,03950,525192,Khapar (CT),Urban,Has Kitchen, 659 , 115 , 46 , 19 , 9 , 15 , 452 , -   , 2 , 1 , -   
HH3410,27,497,03950,525192,Khapar (CT),Urban,Does not have kitchen, 745 , 521 , 22 , 32 , 6 , 27 , 136 , -   , 1 , -   , -   
HH3410,27,497,03950,525192,Khapar (CT),Urban,Cooking outside house:, 11 , 4 , 5 , -   , -   , 1 , 1 , -   , -   , -   , -   
HH3410,27,497,03950,525192,Khapar (CT),Urban,Has Kitchen, 7 , 1 , 5 , -   , -   , -   , 1 , -   , -   , -   , -   
HH3410,27,497,03950,525192,Khapar (CT),Urban,Does not have kitchen, 4 , 3 , -   , -   , -   , 1 , -   , -   , -   , -   , -   
HH3410,27,497,03950,525192,Khapar (CT),Urban,No Cooking, 11 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11 
HH3410,27,497,03950,525193,Akkalkuwa (CT),Urban,Total," 1,745 ", 702 , 12 , 9 , 2 , 106 , 883 , 3 , -   , 1 , 27 
HH3410,27,497,03950,525193,Akkalkuwa (CT),Urban,Cooking inside house:," 1,579 ", 606 , 11 , 9 , 2 , 101 , 846 , 3 , -   , 1 , -   
HH3410,27,497,03950,525193,Akkalkuwa (CT),Urban,Has Kitchen," 1,230 ", 339 , 10 , 1 , 2 , 87 , 788 , 3 , -   , -   , -   
HH3410,27,497,03950,525193,Akkalkuwa (CT),Urban,Does not have kitchen, 349 , 267 , 1 , 8 , -   , 14 , 58 , -   , -   , 1 , -   
HH3410,27,497,03950,525193,Akkalkuwa (CT),Urban,Cooking outside house:, 139 , 96 , 1 , -   , -   , 5 , 37 , -   , -   , -   , -   
HH3410,27,497,03950,525193,Akkalkuwa (CT),Urban,Has Kitchen, 101 , 60 , -   , -   , -   , 4 , 37 , -   , -   , -   , -   
HH3410,27,497,03950,525193,Akkalkuwa (CT),Urban,Does not have kitchen, 38 , 36 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   
HH3410,27,497,03950,525193,Akkalkuwa (CT),Urban,No Cooking, 27 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 27 
HH3410,27,497,03950,525194,Makranifali (CT),Urban,Total, 976 , 757 , 16 , 2 , -   , 23 , 173 , -   , -   , -   , 5 
HH3410,27,497,03950,525194,Makranifali (CT),Urban,Cooking inside house:, 971 , 757 , 16 , 2 , -   , 23 , 173 , -   , -   , -   , -   
HH3410,27,497,03950,525194,Makranifali (CT),Urban,Has Kitchen, 327 , 161 , 9 , -   , -   , 14 , 143 , -   , -   , -   , -   
HH3410,27,497,03950,525194,Makranifali (CT),Urban,Does not have kitchen, 644 , 596 , 7 , 2 , -   , 9 , 30 , -   , -   , -   , -   
HH3410,27,497,03950,525194,Makranifali (CT),Urban,Cooking outside house:, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH3410,27,497,03950,525194,Makranifali (CT),Urban,Has Kitchen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH3410,27,497,03950,525194,Makranifali (CT),Urban,Does not have kitchen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH3410,27,497,03950,525194,Makranifali (CT),Urban,No Cooking, 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
HH3410,27,497,03951,000000,Sub-District - Akrani,Total,Total," 32,386 "," 28,317 "," 2,093 "," 1,003 ", 7 , 85 , 826 , 13 , 4 , 4 , 34 
HH3410,27,497,03951,000000,Sub-District - Akrani,Total,Cooking inside house:," 31,066 "," 27,206 "," 2,006 ", 934 , 5 , 85 , 809 , 13 , 4 , 4 , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Total,Has Kitchen," 11,430 "," 9,731 ", 753 , 305 , 2 , 35 , 595 , 9 , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Total,Does not have kitchen," 19,636 "," 17,475 "," 1,253 ", 629 , 3 , 50 , 214 , 4 , 4 , 4 , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Total,Cooking outside house:," 1,286 "," 1,111 ", 87 , 69 , 2 , -   , 17 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Total,Has Kitchen, 192 , 119 , 47 , 21 , -   , -   , 5 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Total,Does not have kitchen," 1,094 ", 992 , 40 , 48 , 2 , -   , 12 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Total,No Cooking, 34 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 34 
HH3410,27,497,03951,000000,Sub-District - Akrani,Rural,Total," 31,336 "," 27,805 "," 2,085 ", 975 , 5 , 53 , 366 , 13 , 4 , 4 , 26 
HH3410,27,497,03951,000000,Sub-District - Akrani,Rural,Cooking inside house:," 30,059 "," 26,709 "," 1,998 ", 917 , 3 , 53 , 358 , 13 , 4 , 4 , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Rural,Has Kitchen," 10,642 "," 9,322 ", 750 , 304 , -   , 25 , 232 , 9 , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Rural,Does not have kitchen," 19,417 "," 17,387 "," 1,248 ", 613 , 3 , 28 , 126 , 4 , 4 , 4 , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Rural,Cooking outside house:," 1,251 "," 1,096 ", 87 , 58 , 2 , -   , 8 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Rural,Has Kitchen, 171 , 111 , 47 , 11 , -   , -   , 2 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Rural,Does not have kitchen," 1,080 ", 985 , 40 , 47 , 2 , -   , 6 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Rural,No Cooking, 26 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 26 
HH3410,27,497,03951,000000,Sub-District - Akrani,Urban,Total," 1,050 ", 512 , 8 , 28 , 2 , 32 , 460 , -   , -   , -   , 8 
HH3410,27,497,03951,000000,Sub-District - Akrani,Urban,Cooking inside house:," 1,007 ", 497 , 8 , 17 , 2 , 32 , 451 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Urban,Has Kitchen, 788 , 409 , 3 , 1 , 2 , 10 , 363 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Urban,Does not have kitchen, 219 , 88 , 5 , 16 , -   , 22 , 88 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Urban,Cooking outside house:, 35 , 15 , -   , 11 , -   , -   , 9 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Urban,Has Kitchen, 21 , 8 , -   , 10 , -   , -   , 3 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Urban,Does not have kitchen, 14 , 7 , -   , 1 , -   , -   , 6 , -   , -   , -   , -   
HH3410,27,497,03951,000000,Sub-District - Akrani,Urban,No Cooking, 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 
HH3410,27,497,03951,525357,Vadfalya (CT),Urban,Total," 1,050 ", 512 , 8 , 28 , 2 , 32 , 460 , -   , -   , -   , 8 
HH3410,27,497,03951,525357,Vadfalya (CT),Urban,Cooking inside house:," 1,007 ", 497 , 8 , 17 , 2 , 32 , 451 , -   , -   , -   , -   
HH3410,27,497,03951,525357,Vadfalya (CT),Urban,Has Kitchen, 788 , 409 , 3 , 1 , 2 , 10 , 363 , -   , -   , -   , -   
HH3410,27,497,03951,525357,Vadfalya (CT),Urban,Does not have kitchen, 219 , 88 , 5 , 16 , -   , 22 , 88 , -   , -   , -   , -   
HH3410,27,497,03951,525357,Vadfalya (CT),Urban,Cooking outside house:, 35 , 15 , -   , 11 , -   , -   , 9 , -   , -   , -   , -   
HH3410,27,497,03951,525357,Vadfalya (CT),Urban,Has Kitchen, 21 , 8 , -   , 10 , -   , -   , 3 , -   , -   , -   , -   
HH3410,27,497,03951,525357,Vadfalya (CT),Urban,Does not have kitchen, 14 , 7 , -   , 1 , -   , -   , 6 , -   , -   , -   , -   
HH3410,27,497,03951,525357,Vadfalya (CT),Urban,No Cooking, 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 
HH3410,27,497,03952,000000,Sub-District - Talode,Total,Total," 31,070 "," 21,971 "," 3,424 ", 739 , 22 , 227 ," 4,492 ", 12 , 26 , 50 , 107 
HH3410,27,497,03952,000000,Sub-District - Talode,Total,Cooking inside house:," 29,708 "," 20,899 "," 3,351 ", 697 , 19 , 218 ," 4,438 ", 12 , 25 , 49 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Total,Has Kitchen," 14,586 "," 8,852 "," 1,608 ", 213 , 16 , 71 ," 3,758 ", 7 , 19 , 42 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Total,Does not have kitchen," 15,122 "," 12,047 "," 1,743 ", 484 , 3 , 147 , 680 , 5 , 6 , 7 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Total,Cooking outside house:," 1,255 "," 1,072 ", 73 , 42 , 3 , 9 , 54 , -   , 1 , 1 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Total,Has Kitchen, 558 , 476 , 34 , 22 , -   , 6 , 20 , -   , -   , -   , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Total,Does not have kitchen, 697 , 596 , 39 , 20 , 3 , 3 , 34 , -   , 1 , 1 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Total,No Cooking, 107 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 107 
HH3410,27,497,03952,000000,Sub-District - Talode,Rural,Total," 26,039 "," 19,956 "," 3,212 ", 604 , 15 , 129 ," 1,978 ", 10 , 24 , 47 , 64 
HH3410,27,497,03952,000000,Sub-District - Talode,Rural,Cooking inside house:," 24,790 "," 18,928 "," 3,148 ", 563 , 14 , 122 ," 1,936 ", 10 , 23 , 46 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Rural,Has Kitchen," 11,477 "," 8,102 "," 1,483 ", 152 , 11 , 25 ," 1,639 ", 6 , 17 , 42 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Rural,Does not have kitchen," 13,313 "," 10,826 "," 1,665 ", 411 , 3 , 97 , 297 , 4 , 6 , 4 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Rural,Cooking outside house:," 1,185 "," 1,028 ", 64 , 41 , 1 , 7 , 42 , -   , 1 , 1 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Rural,Has Kitchen, 525 , 464 , 25 , 21 , -   , 5 , 10 , -   , -   , -   , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Rural,Does not have kitchen, 660 , 564 , 39 , 20 , 1 , 2 , 32 , -   , 1 , 1 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Rural,No Cooking, 64 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 64 
HH3410,27,497,03952,000000,Sub-District - Talode,Urban,Total," 5,031 "," 2,015 ", 212 , 135 , 7 , 98 ," 2,514 ", 2 , 2 , 3 , 43 
HH3410,27,497,03952,000000,Sub-District - Talode,Urban,Cooking inside house:," 4,918 "," 1,971 ", 203 , 134 , 5 , 96 ," 2,502 ", 2 , 2 , 3 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Urban,Has Kitchen," 3,109 ", 750 , 125 , 61 , 5 , 46 ," 2,119 ", 1 , 2 , -   , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Urban,Does not have kitchen," 1,809 "," 1,221 ", 78 , 73 , -   , 50 , 383 , 1 , -   , 3 , -   
HH3410,27,497,03952,000000,Sub-District - Talode,Urban,Cooking outside house:, 70 , 44 , 9 , 1 , 2 , 2 , 12 , -   , -   , -   , -   
