TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Total_Households,Bank,Radio,TV,Computer_With_Internet,Computer_Without_Internet,Landline_Only,Mobile_Only,Landline_Mobile,Bicycle,Motorcycle,Car,With_All,With_None
HH4012,27,529,00000,000000,District - Sindhudurg,Total," 205,119 "," 130,330 "," 16,413 "," 98,475 "," 3,517 "," 12,204 "," 18,320 "," 93,385 "," 20,150 "," 39,669 "," 37,159 "," 9,264 "," 6,101 "," 51,974 "
HH4012,27,529,00000,000000,District - Sindhudurg,Rural," 180,494 "," 110,744 "," 14,301 "," 79,260 "," 2,248 "," 9,604 "," 16,574 "," 78,803 "," 15,578 "," 31,359 "," 27,235 "," 6,716 "," 3,424 "," 50,051 "
HH4012,27,529,00000,000000,District - Sindhudurg,Urban," 24,625 "," 19,586 "," 2,112 "," 19,215 "," 1,269 "," 2,600 "," 1,746 "," 14,582 "," 4,572 "," 8,310 "," 9,924 "," 2,548 "," 2,677 "," 1,923 "
HH4012,27,529,04275,000000,Sub-District - Devgad,Total," 27,527 "," 16,728 "," 2,332 "," 11,687 ", 441 ," 1,209 "," 3,571 "," 10,485 "," 3,331 "," 2,971 "," 3,565 "," 1,223 ", 571 ," 7,810 "
HH4012,27,529,04275,000000,Sub-District - Devgad,Rural," 27,527 "," 16,728 "," 2,332 "," 11,687 ", 441 ," 1,209 "," 3,571 "," 10,485 "," 3,331 "," 2,971 "," 3,565 "," 1,223 ", 571 ," 7,810 "
HH4012,27,529,04275,000000,Sub-District - Devgad,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH4012,27,529,04276,000000,Sub-District - Vaibhavvadi,Total," 11,311 "," 6,661 "," 1,116 "," 3,166 ", 137 , 830 , 501 ," 5,275 ", 582 , 926 ," 1,006 ", 444 , 131 ," 3,923 "
HH4012,27,529,04276,000000,Sub-District - Vaibhavvadi,Rural," 11,311 "," 6,661 "," 1,116 "," 3,166 ", 137 , 830 , 501 ," 5,275 ", 582 , 926 ," 1,006 ", 444 , 131 ," 3,923 "
HH4012,27,529,04276,000000,Sub-District - Vaibhavvadi,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH4012,27,529,04277,000000,Sub-District - Kankavli,Total," 33,065 "," 20,471 "," 3,159 "," 15,615 ", 863 ," 2,454 "," 1,964 "," 16,922 "," 3,380 "," 5,152 "," 6,102 "," 1,912 "," 1,339 "," 8,109 "
HH4012,27,529,04277,000000,Sub-District - Kankavli,Rural," 27,390 "," 15,794 "," 2,535 "," 11,009 ", 471 ," 1,645 "," 1,657 "," 13,534 "," 2,170 "," 3,857 "," 3,600 "," 1,236 ", 509 ," 7,671 "
HH4012,27,529,04277,000000,Sub-District - Kankavli,Urban," 5,675 "," 4,677 ", 624 ," 4,606 ", 392 , 809 , 307 ," 3,388 "," 1,210 "," 1,295 "," 2,502 ", 676 , 830 , 438 
HH4012,27,529,04277,802877,Kankavli (NP),Urban," 3,867 "," 3,251 ", 483 ," 3,163 ", 334 , 602 , 256 ," 2,238 ", 852 , 924 ," 1,703 ", 481 , 630 , 286 
HH4012,27,529,04277,566496,Kalmath (CT),Urban," 1,808 "," 1,426 ", 141 ," 1,443 ", 58 , 207 , 51 ," 1,150 ", 358 , 371 , 799 , 195 , 200 , 152 
HH4012,27,529,04278,000000,Sub-District - Malwan,Total," 27,871 "," 18,184 "," 1,876 "," 13,395 ", 352 ," 1,173 "," 2,992 "," 12,905 "," 2,401 "," 8,200 "," 4,540 "," 1,028 ", 580 ," 6,740 "
HH4012,27,529,04278,000000,Sub-District - Malwan,Rural," 23,429 "," 14,720 "," 1,528 "," 10,060 ", 211 , 841 ," 2,474 "," 10,280 "," 1,785 "," 5,499 "," 3,166 ", 688 , 303 ," 6,419 "
HH4012,27,529,04278,000000,Sub-District - Malwan,Urban," 4,442 "," 3,464 ", 348 ," 3,335 ", 141 , 332 , 518 ," 2,625 ", 616 ," 2,701 "," 1,374 ", 340 , 277 , 321 
HH4012,27,529,04278,802878,Malwan (M Cl),Urban," 4,442 "," 3,464 ", 348 ," 3,335 ", 141 , 332 , 518 ," 2,625 ", 616 ," 2,701 "," 1,374 ", 340 , 277 , 321 
